Date,Open,High,Low,Close,Adj Close,Volume,Stock
2021-10-06,285.779999,293.630005,285.51001,293.109985,289.858704,28002600,MSFT
2021-10-05,284.049988,290.399994,284.049988,288.76001,285.556946,24993000,MSFT
2021-10-04,287.399994,287.75,280.25,283.109985,279.969635,31350700,MSFT
2021-10-01,282.119995,289.980011,281.290009,289.100006,285.893188,30086300,MSFT
2021-09-30,285.709991,287.829987,281.619995,281.920013,278.792816,32343600,MSFT
2021-09-29,285.100006,286.769989,283.01001,284,280.849792,26353700,MSFT
2021-09-28,289.799988,290.779999,282.75,283.519989,280.375092,43186200,MSFT
2021-09-27,296.140015,296.470001,292.940002,294.170013,290.906952,23571700,MSFT
2021-09-24,298.230011,299.799988,296.929993,299.350006,296.02951,14999000,MSFT
2021-09-23,298.850006,300.899994,297.529999,299.559998,296.237183,18604600,MSFT
2021-09-22,296.730011,300.220001,294.51001,298.579987,295.268036,26626300,MSFT
2021-09-21,295.690002,297.540009,294.070007,294.799988,291.529938,22364100,MSFT
2021-09-20,296.329987,298.720001,289.519989,294.299988,291.035461,38278700,MSFT
2021-09-17,304.170013,304.5,299.529999,299.869995,296.543701,41372500,MSFT
2021-09-16,303.76001,305.309998,300.76001,305.220001,301.834381,19550800,MSFT
2021-09-15,303.26001,305.320007,301.820007,304.820007,301.438812,28356300,MSFT
2021-09-14,299.559998,301.390015,298.100006,299.790009,296.46463,21853400,MSFT
2021-09-13,297.549988,298.540009,294.079987,296.98999,293.695618,23652900,MSFT
2021-09-10,298.420013,299.920013,295.380005,295.709991,292.42981,19633400,MSFT
2021-09-09,300.820007,302.140015,297,297.25,293.952789,19927000,MSFT
2021-09-08,299.779999,300.609985,297.470001,300.209991,296.879944,15046800,MSFT
2021-09-07,301.01001,301.089996,298.200012,300.179993,296.850281,17180400,MSFT
2021-09-03,300.98999,302.600006,300.26001,301.140015,297.799652,14747900,MSFT
2021-09-02,302.200012,303.359985,300.179993,301.149994,297.809509,16285600,MSFT
2021-09-01,302.869995,305.190002,301.48999,301.829987,298.481964,18983800,MSFT
2021-08-31,304.420013,304.5,301.5,301.880005,298.531433,26285300,MSFT
2021-08-30,301.119995,304.220001,301.059998,303.589996,300.222443,16348100,MSFT
2021-08-27,298.98999,300.869995,296.829987,299.720001,296.395416,22605700,MSFT
2021-08-26,300.98999,302.429993,298.950012,299.089996,295.772369,17666100,MSFT
2021-08-25,304.299988,304.589996,300.420013,302.01001,298.659973,20006100,MSFT
2021-08-24,305.019989,305.649994,302,302.619995,299.263184,18175800,MSFT
2021-08-23,303.25,305.399994,301.850006,304.649994,301.270691,22830200,MSFT
2021-08-20,299.720001,305.839996,298.059998,304.359985,300.983917,40817600,MSFT
2021-08-19,288.690002,297.470001,288.640015,296.769989,293.478119,29850500,MSFT
2021-08-18,292.040009,294.820007,290.269989,290.730011,287.505127,21813000,MSFT
2021-08-17,292.390015,293.429993,291.079987,293.079987,289.275238,20075300,MSFT
2021-08-16,293.190002,294.820007,290.019989,294.600006,290.775513,22507600,MSFT
2021-08-13,289.480011,292.899994,289.299988,292.850006,289.048248,18249000,MSFT
2021-08-12,286.630005,289.970001,286.339996,289.809998,286.047729,14561300,MSFT
2021-08-11,287.209991,288.660004,285.859985,286.950012,283.224854,13955900,MSFT
2021-08-10,288.799988,289.25,285.200012,286.440002,282.721497,18616600,MSFT
2021-08-09,289.75,291.549988,287.809998,288.329987,284.586945,16117600,MSFT
2021-08-06,288.51001,289.5,287.619995,289.459991,285.702209,16589300,MSFT
2021-08-05,286.880005,289.630005,286.100006,289.519989,285.761444,13900200,MSFT
2021-08-04,286.220001,287.589996,284.649994,286.51001,282.790558,16191300,MSFT
2021-08-03,285.420013,287.230011,284,287.119995,283.392609,17879000,MSFT
2021-08-02,286.359985,286.769989,283.73999,284.820007,281.122467,16267400,MSFT
